column,column_nat,column_type,table_list,table_cnt,type,sample_list
common_band7,기본 Band7,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.3000295, 0.3339168, 0.7783579]"
common_call_no,기본 CALL_NO,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[2, 5, 9]"
common_call_type,기본 CALL TYPE,string,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,string,"['gz67RWG7y', '5MXuIUCUrTl', 'cajai2VmyK']"
common_data_transfer_time,기본 Data Transfer Time,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.247, 0.696, 0.962]"
common_data_transfer_time_down,기본 Data Transfer TimeDown,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.137728, 0.19359, 0.491355]"
common_data_transfer_time_up,기본 Data Transfer TimeUp,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.304, 0.452, 0.558]"
common_dataage,GPS Current DataAge,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[2, 7, 9]"
common_dc_hsdpa_network_ratio,기본 DCHSDPA Network Ratio,float,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0.125, 0.185, 0.537]"
common_down_up_load,기본 DownUp Load,string,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,string,"['zf42sThZp', 'jyPIvtM96g8', 'V4TnutZ7iug']"
common_drop_cnt,기본 DROP CNT,int,"['kpi_xcap', 'pscall_statistics_scenario', 'pscall_statistics_traffic_scenario', 'pscall_xcap', 'pscall_xcap_traffic']",5,number,"[0, 4, 4]"
